CardId,RuleFamily,RuleCategory,Trigger,Base,Translate,WordCategory,Before,After,Answer,Outcome,TranslateSent,Why,Why-Cym
p000085,"Soft, Contact",Preposition,at,bag,bag,noun-masc,Mae'r beiro at , bach.,fag,SM,The pen is by a small bag.,After the preposition at the next word normally takes a soft mutation so bag changes to fag.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly bag yn dod yn fag.
p000086,"Soft, Contact",Preposition,at,banana,banana,noun-masc,Mae'r babi at , melys.,fanana,SM,The baby is by a sweet banana.,After the preposition at the next word normally takes a soft mutation so banana changes to fanana.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly banana yn dod yn fanana.
p000087,"Soft, Contact",Preposition,at,capel,chapel,noun-masc,Mae'r car at , y pentref.,gapel,SM,The car is at the village chapel.,After the preposition at the next word normally takes a soft mutation so capel changes to gapel.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly capel yn dod yn gapel.
p000088,"Soft, Contact",Preposition,at,caws,cheese,noun-masc,Mae'r finegr at ,.,gaws,SM,The vinegar is by the cheese.,After the preposition at the next word normally takes a soft mutation so caws changes to gaws.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly caws yn dod yn gaws.
p000089,"Soft, Contact",Preposition,at,cariad,love,noun-masc,Mae hi at , hen.,gariad,SM,She is with an old love.,After the preposition at the next word normally takes a soft mutation so cariad changes to gariad.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly cariad yn dod yn gariad.
p000090,"Soft, Contact",Preposition,at,tŷ,house,noun-masc,Dw i at , fy mam.,dŷ,SM,I am at my mum’s house.,After the preposition at the next word normally takes a soft mutation so tŷ changes to dŷ.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly tŷ yn dod yn dŷ.
p000091,"Soft, Contact",Preposition,at,gwesty,hotel,noun-masc,Rydyn ni'n aros at , braf.,westy,SM,We are staying at a nice hotel.,After the preposition at the next word normally takes a soft mutation and initial g usually drops so gwesty becomes westy.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal ac mae g ar y dechrau fel arfer yn diflannu felly gwesty yn dod yn westy.
p000092,"Soft, Contact",Preposition,at,cyfarfod,meeting,noun-masc,Dw i at , byr.,gyfarfod,SM,I am at a short meeting.,After the preposition at the next word normally takes a soft mutation so cyfarfod changes to gyfarfod.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly cyfarfod yn dod yn gyfarfod.
p000093,"Soft, Contact",Preposition,at,meddygfa,doctor’s surgery,noun-fem,Mae hi at , y dref.,feddygfa,SM,She is at the town doctor’s surgery.,After the preposition at the next word normally takes a soft mutation so meddygfa changes to feddygfa.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly meddygfa yn dod yn feddygfa.
p000094,"Soft, Contact",Preposition,at,ffatri,factory,noun-fem,Mae e at , fawr.,fatri,SM,He is at a big factory.,After the preposition at the next word normally takes a soft mutation so initial ff changes to f and ffatri becomes fatri.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly mae ff yn dod yn f ac mae ffatri yn dod yn fatri.
p000095,"Soft, Contact",Preposition,at,llong,ship,noun-fem,Mae'r dyn at , fawr.,long,SM,The man is by a big ship.,After the preposition at the next word normally takes a soft mutation so llong changes to long.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly llong yn dod yn long.
p000096,"Soft, Contact",Preposition,at,pobl,people,noun-pl,Mae hi'n gweiddi at , eraill.,bobl,SM,She is shouting at other people.,After the preposition at the next word normally takes a soft mutation so pobl changes to bobl.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly pobl yn dod yn bobl.
p000097,None,Preposition,at,adeilad,building,noun-masc,Dw i at , newydd.,adeilad,NONE,I am at a new building.,The preposition at would normally cause a soft mutation but adeilad starts with a vowel so it does not change.,Byddai at fel arfer yn achosi treiglad meddal ond mae adeilad yn dechrau gyda llafariad felly nid yw'n newid.
p000098,None,Preposition,at,ambiwlans,ambulance,noun-masc,Mae'r meddyg at ,.,ambiwlans,NONE,The doctor is by an ambulance.,The preposition at would normally cause a soft mutation but ambiwlans starts with a vowel so it does not change.,Byddai at fel arfer yn achosi treiglad meddal ond mae ambiwlans yn dechrau gyda llafariad felly nid yw'n newid.
p000099,None,Preposition,at,siop,shop,noun-fem,Dw i at , fach.,siop,NONE,I am at a small shop.,The preposition at would normally cause a soft mutation but words beginning with s do not change in soft mutation.,Byddai at fel arfer yn achosi treiglad meddal ond nid yw geiriau sy'n dechrau gyda s yn newid yn y treiglad meddal.
p000100,None,Preposition,at,drws,door,noun-masc,Dw i at y , nawr.,drws,NONE,I am at the door now.,Normally at causes a soft mutation but the definite article y comes between at and the noun so the noun stays unmutated.,Fel arfer mae at yn achosi treiglad meddal ond mae'r fannod y rhwng at a'r enw felly mae'r enw yn aros heb dreiglad.
p000101,"Soft, Contact",Preposition,at,babi,baby,noun-masc,Mae hi'n gwenu at , annwyl.,fabi,SM,She is smiling at a dear baby.,After the preposition at the next word normally takes a soft mutation so babi changes to fabi.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly babi yn dod yn fabi.
p000102,"Soft, Contact",Preposition,at,bachgen,boy,noun-masc,Mae'r athro'n gweiddi at , blin.,fachgen,SM,The teacher is shouting at an angry boy.,After the preposition at the next word normally takes a soft mutation so bachgen changes to fachgen.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly bachgen yn dod yn fachgen.
p000103,"Soft, Contact",Preposition,at,rhif,number,noun-masc,Edrycha at , arall.,rif,SM,Look at another number.,After the preposition at the next word normally takes a soft mutation so rhif changes to rif.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly rhif yn dod yn rif.
p000104,"Soft, Contact",Preposition,at,llygad,eye,noun-masc,Mae'r meddyg yn edrych at , coch.,lygad,SM,The doctor is looking at a red eye.,After the preposition at the next word normally takes a soft mutation so llygad changes to lygad.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly llygad yn dod yn lygad.
p000105,"Soft, Contact",Preposition,at,caffi,cafe,noun-masc,Dw i at , bach.,gaffi,SM,I am at a small café.,After the preposition at the next word normally takes a soft mutation so caffi changes to gaffi.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly caffi yn dod yn gaffi.
p000106,"Soft, Contact",Preposition,at,garej,garage,noun-fem,Dw i'n stopio at , heddiw.,arej,SM,I am stopping at a garage today.,After the preposition at the next word normally takes a soft mutation and initial g drops so garej becomes arej.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal ac mae g ar y dechrau yn diflannu felly garej yn dod yn arej.
p000107,"Soft, Contact",Preposition,at,fferyllfa,pharmacy,noun-fem,Dw i'n mynd at , nawr.,feryllfa,SM,I am going to a pharmacy now.,After the preposition at the next word normally takes a soft mutation so initial ff changes to f and fferyllfa becomes fferyllfa.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly ff yn dod yn f ac mae fferyllfa yn dod yn fferyllfa.
p000108,"Soft, Contact",Preposition,at,gorsaf,station,noun-fem,Rydyn ni at , yn gynnar.,orsaf,SM,We are at the station early.,After the preposition at the next word normally takes a soft mutation and initial g drops so gorsaf becomes orsaf.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal ac mae g ar y dechrau yn diflannu felly gorsaf yn dod yn orsaf.
p000109,"Soft, Contact",Preposition,at,tafarn,pub,noun-fem,Dw i'n mynd at , heno.,dafarn,SM,I am going to a pub tonight.,After the preposition at the next word normally takes a soft mutation so tafarn changes to dafarn.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly tafarn yn dod yn dafarn.
p000110,"Soft, Contact",Preposition,at,prifysgol,university,noun-fem,Mae hi'n mynd at , cenedlaethol.,brifysgol,SM,She is going to a national university.,After the preposition at the next word normally takes a soft mutation so prifysgol changes to brifysgol.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly prifysgol yn dod yn brifysgol.
p000111,"Soft, Contact",Preposition,at,capten,captain,noun-masc,Mae'r criw yn siarad at ,.,gapten,SM,The crew is talking to the captain.,After the preposition at the next word normally takes a soft mutation so capten changes to gapten.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly capten yn dod yn gapten.
p000112,"Soft, Contact",Preposition,at,Duw,God,noun-masc,Rydyn ni'n gweddïo at ,.,Dduw,SM,We pray to God.,After the preposition at the next word normally takes a soft mutation so Duw changes to Dduw.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly Duw yn dod yn Dduw.
p000113,"Soft, Contact",Preposition,at,postmon,postman,noun-masc,Dw i'n siarad at , bob bore.,bostmon,SM,I speak to the postman every morning.,After the preposition at the next word normally takes a soft mutation so postmon changes to bostmon.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly postmon yn dod yn bostmon.
p000114,"Soft, Contact",Preposition,at,gŵr,man husband,noun-masc,Mae hi'n galw at ,.,ŵr,SM,She is calling to a man.,After the preposition at the next word normally takes a soft mutation and initial g drops so gŵr becomes ŵr.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal ac mae g ar y dechrau yn diflannu felly gŵr yn dod yn ŵr.
p000115,"Soft, Contact",Preposition,at,plant,children,noun-pl,Mae'r athrawes yn siarad at , bach.,blant,SM,The teacher is speaking to small children.,After the preposition at the next word normally takes a soft mutation so plant changes to blant.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly plant yn dod yn blant.
p000116,"Soft, Contact",Preposition,at,llyfrau,books,noun-pl,Edrycha at , ar gael.,lyfrau,SM,Look at the books that are available.,After the preposition at the next word normally takes a soft mutation so llyfrau changes to lyfrau.,Ar ôl yr arddodiad at mae'r gair nesaf fel arfer yn treiglo'n feddal felly llyfrau yn dod yn lyfrau.
p000117,None,Preposition,at,ateb,answer,noun-masc,Edrycha at , anghywir.,ateb,NONE,Look at a wrong answer.,The preposition at would normally cause a soft mutation but ateb starts with a vowel so it does not change.,Byddai at fel arfer yn achosi treiglad meddal ond mae ateb yn dechrau gyda llafariad felly nid yw'n newid.
p000118,None,Preposition,at,apwyntiad,appointment,noun-masc,Dw i'n mynd at , yfory.,apwyntiad,NONE,I am going to an appointment tomorrow.,The preposition at would normally cause a soft mutation but apwyntiad starts with a vowel so it does not change.,Byddai at fel arfer yn achosi treiglad meddal ond mae apwyntiad yn dechrau gyda llafariad felly nid yw'n newid.
p000119,None,Preposition,at,siaradwr,speaker,noun-masc,Mae'r dyn yn gweiddi at ,.,siaradwr,NONE,The man is shouting at a speaker.,The preposition at would normally cause a soft mutation but words beginning with s do not change in soft mutation.,Byddai at fel arfer yn achosi treiglad meddal ond nid yw geiriau sy'n dechrau gyda s yn newid yn y treiglad meddal.
p000120,None,Preposition,at,bar,bar,noun-masc,Dw i at y , gyda ffrind.,bar,NONE,I am at the bar with a friend.,Normally at causes a soft mutation but the definite article y comes between at and the noun so the noun stays unmutated.,Fel arfer mae at yn achosi treiglad meddal ond mae'r fannod y rhwng at a'r enw felly mae'r enw yn aros heb dreiglad.
p000121,"Soft, Contact",Preposition,dros,castell,castle,noun-masc,Mae'r awyren yn hedfan dros , heddiw.,gastell,SM,The plane is flying over a castle today.,After the preposition dros the next word normally takes a soft mutation so castell changes to gastell.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal felly castell yn dod yn gastell.
p000122,"Soft, Contact",Preposition,dros,pont,bridge,noun-fem,Cerdda dros , yn ofalus.,bont,SM,Walk across a bridge carefully.,After the preposition dros the next word normally takes a soft mutation so pont changes to bont.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal felly pont yn dod yn bont.
p000123,"Soft, Contact",Preposition,dros,parc,park,noun-masc,Mae'r ci yn rhedeg dros , bach.,barc,SM,The dog is running across a small park.,After the preposition dros the next word normally takes a soft mutation so parc changes to barc.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal felly parc yn dod yn barc.
p000124,"Soft, Contact",Preposition,dros,cwm,valley,noun-masc,Mae'r llwybr yn mynd dros ,.,gwm,SM,The path goes over a valley.,After the preposition dros the next word normally takes a soft mutation so cwm changes to gwm.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal felly cwm yn dod yn gwm.
p000125,"Soft, Contact",Preposition,dros,môr,sea,noun-masc,Rydyn ni'n hedfan dros , heddiw.,fôr,SM,We are flying over the sea today.,After the preposition dros the next word normally takes a soft mutation so môr changes to fôr.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal felly môr yn dod yn fôr.
p000126,"Soft, Contact",Preposition,dros,Cymru,Wales,placename,Rydyn ni'n teithio dros , ar y trên.,Gymru,SM,We are travelling across Wales by train.,After the preposition dros the next word normally takes a soft mutation so Cymru changes to Gymru.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal felly Cymru yn dod yn Gymru.
p000127,"Soft, Contact",Preposition,dros,Lloegr,England,placename,Mae'r awyren yn hedfan dros , nawr.,Loegr,SM,The plane is flying over England now.,After the preposition dros the next word normally takes a soft mutation so Lloegr changes to Loegr.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal felly Lloegr yn dod yn Loegr.
p000128,"Soft, Contact",Preposition,dros,gorsaf,station,noun-fem,Mae'r caffi dros ,.,orsaf,SM,The café is opposite a station.,After the preposition dros the next word normally takes a soft mutation and initial g usually drops so gorsaf becomes orsaf.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal ac mae g ar y dechrau fel arfer yn diflannu felly gorsaf yn dod yn orsaf.
p000129,"Soft, Contact",Preposition,dros,gardd,garden,noun-fem,Mae'r tŷ dros , fawr.,ardd,SM,The house is beyond a big garden.,After the preposition dros the next word normally takes a soft mutation and initial g usually drops so gardd becomes ardd.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal ac mae g ar y dechrau fel arfer yn diflannu felly gardd yn dod yn ardd.
p000130,"Soft, Contact",Idiom,dros,pen,head,noun-masc,Mae'r arholiad dros , nawr.,ben,SM,The exam is over now.,Dros ben is a fixed phrase meaning finished or over and after dros the word pen takes a soft mutation to ben.,Mae dros ben yn ymadrodd sefydlog sy'n golygu finished neu over ac ar ôl dros mae pen yn treiglo'n feddal i ben.
p000131,"Soft, Contact",Preposition,dros,teulu,family,noun-masc,Dw i'n poeni dros ,.,deulu,SM,I am worried about the family.,After the preposition dros the next word normally takes a soft mutation so teulu changes to deulu.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal felly teulu yn dod yn deulu.
p000132,"Soft, Contact",Preposition,dros,tad,father,noun-masc,Dw i'n poeni dros , heno.,dad,SM,I am worried about dad tonight.,After the preposition dros the next word normally takes a soft mutation so tad changes to dad.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal felly tad yn dod yn dad.
p000133,"Soft, Contact",Preposition,dros,blwyddyn,year,noun-fem,Dw i'n aros yma dros , arall.,flwyddyn,SM,I am staying here for another year.,After the preposition dros the next word normally takes a soft mutation so blwyddyn changes to flwyddyn.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal felly blwyddyn yn dod yn flwyddyn.
p000134,"Soft, Contact",Preposition,dros,llyfrgell,library,noun-fem,Mae'r ysgol dros , y dref.,lyfrgell,SM,The school is opposite the town library.,After the preposition dros the next word normally takes a soft mutation so llyfrgell changes to lyfrgell.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal felly llyfrgell yn dod yn lyfrgell.
p000135,"Soft, Contact",Preposition,dros,ffenest,window,noun-fem,Mae'r aderyn yn hedfan dros ,.,fenest,SM,The bird is flying over a window.,After the preposition dros the next word normally takes a soft mutation so initial ff changes to f and ffenest becomes fenest.,Ar ôl yr arddodiad dros mae'r gair nesaf fel arfer yn treiglo'n feddal felly ff yn dod yn f ac mae ffenest yn dod yn fenest.
p000136,None,Preposition,dros,amgueddfa,museum,noun-fem,Mae'r parc dros ,.,amgueddfa,NONE,The park is opposite the museum.,The preposition dros would normally cause a soft mutation but amgueddfa starts with a vowel so it does not change.,Byddai dros fel arfer yn achosi treiglad meddal ond mae amgueddfa yn dechrau gyda llafariad felly nid yw'n newid.
p000137,None,Preposition,dros,siop,shop,noun-fem,Mae'r banc dros ,.,siop,NONE,The bank is opposite the shop.,The preposition dros would normally cause a soft mutation but words beginning with s do not change in soft mutation.,Byddai dros fel arfer yn achosi treiglad meddal ond nid yw geiriau sy'n dechrau gyda s yn newid yn y treiglad meddal.
p000138,None,Preposition,dros,amser,time,noun-masc,Mae pethau'n newid dros , byr.,amser,NONE,Things change over a short time.,The preposition dros would normally cause a soft mutation but amser starts with a vowel so it does not change.,Byddai dros fel arfer yn achosi treiglad meddal ond mae amser yn dechrau gyda llafariad felly nid yw'n newid.
p000139,None,Preposition,dros,pont,bridge,noun-fem,Cerdda dros y , yn araf.,pont,NONE,Walk across the bridge slowly.,Normally dros causes a soft mutation but the definite article y comes between dros and the noun so the noun stays unmutated.,Fel arfer mae dros yn achosi treiglad meddal ond mae'r fannod y rhwng dros a'r enw felly mae'r enw yn aros heb dreiglad.
p000140,None,Preposition,dros,stryd,street,noun-fem,Cerdda dros y , yn ofalus.,stryd,NONE,Walk across the street carefully.,Normally dros causes a soft mutation but the definite article y comes between dros and the noun so the noun stays unmutated.,Fel arfer mae dros yn achosi treiglad meddal ond mae'r fannod y rhwng dros a'r enw felly mae'r enw yn aros heb dreiglad.
